Country,State,District,Year,"Climate Vulnerability Index (UOM:Ratio), Scaling Factor:1","Marginal And Small Landholding (%) (UOM:%(Percentage)), Scaling Factor:1","Area Covered Under Crop Insurance (%) (UOM:%(Percentage)), Scaling Factor:1","Proportion Of The Area Under Rainfed Agriculture (UOM:Ratio), Scaling Factor:1","Total Area Of Forest Per 100 Rural Population (UOM:Ratio), Scaling Factor:1","Women Participation In The Workforce (%) (UOM:%(Percentage)), Scaling Factor:1","Average Days Of Employment Provided Per Household Under Mgnrega In A Year (%) (UOM:%(Percentage)), Scaling Factor:1","Road Density (UOM:Ratio), Scaling Factor:1","Functional Health Centres Per Thousand Population (UOM:Number), Scaling Factor:1","Infant Mortality Rate(Imr) (UOM:Ratio), Scaling Factor:1","Households With Electricity (%) (UOM:%(Percentage)), Scaling Factor:1","Households With The Improved Drinking Water Source (%) (UOM:%(Percentage)), Scaling Factor:1","Yield Variability Of Food Grains (UOM:Ratio), Scaling Factor:1","Per Capita Income (UOM:INR(IndianRupees)), Scaling Factor:1","Livestock Per Population (%) (UOM:%(Percentage)), Scaling Factor:1","Area Under Forest Cover (%) (UOM:%(Percentage)), Scaling Factor:1","Value Of Output Of Total Horticulture Against Value Of Agricultural Output (UOM:Ratio), Scaling Factor:1","Unirrigated Area (%) (UOM:%(Percentage)), Scaling Factor:1","Quantity Ground Water Extracted Per 1000 Hectare (UOM:Number), Scaling Factor:1","Rural Households Having Kisan Credit Card (%) (UOM:%(Percentage)), Scaling Factor:1","Self Help Groups Per 1000 Population (UOM:Number), Scaling Factor:1","Doctors Per 1000 Population (UOM:Number), Scaling Factor:1","Population Below Poverty Line (%) (UOM:%(Percentage)), Scaling Factor:1","Proportion Of Income Generated From Tertiary Sector (UOM:Ratio), Scaling Factor:1","Forest Area Per 1,000 Rural Population (UOM:Number), Scaling Factor:1","Share Of Horticulture In Agriculture (UOM:Ratio), Scaling Factor:1","Proportion Of Net Irrigated Area (UOM:Ratio), Scaling Factor:1","Availability Of Ground Water (UOM:L(Litre)), Scaling Factor:1","Population In Multi- Hazard Areas (%) (UOM:%(Percentage)), Scaling Factor:1","Rural Banks Per 1000 Rural Population (UOM:Number), Scaling Factor:1","Vector Borne Diseases Per 1,000 Population (UOM:Number), Scaling Factor:1","Water Borne Diseases Per 1,000 Population (UOM:Number), Scaling Factor:1","Agricultural Labourers (%) (UOM:%(Percentage)), Scaling Factor:1","Value Of Agricultural Output To Value Of Horticulture Output (UOM:Ratio), Scaling Factor:1","Net Irrigated Area To Net Sown Area (UOM:Ratio), Scaling Factor:1","Length Of Roads Per 100 Sqkm (UOM:Ratio), Scaling Factor:1","Households Availing Banking Services (%) (UOM:%(Percentage)), Scaling Factor:1","Share Of Area Insured Under National Institute Of Advanced Studies (UOM:Ratio), Scaling Factor:1","Net Sown Area Under Horticulture (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Improved Sanitation Facility (%) (UOM:%(Percentage)), Scaling Factor:1","Female Literacy Rate (%) (UOM:%(Percentage)), Scaling Factor:1","Net Area Under Agriculture To Total Geographical Area (%) (UOM:%(Percentage)), Scaling Factor:1","Net Un- Irrigated Area To Net Sown Area (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Monthly Income Of Highest Earning Household Members In A Rural Area Less Than Rs 5,000/- (%) (UOM:%(Percentage)), Scaling Factor:1","Rural Households With No Land Ownership (%) (UOM:%(Percentage)), Scaling Factor:1","Net Irrigated By Net Sown (%) (UOM:%(Percentage)), Scaling Factor:1","Drainage Density (UOM:Ratio), Scaling Factor:1","Natural Resource Management Works Per 1,000 Hectares (UOM:Number), Scaling Factor:1","Anganwadi Centres Per 1000 Hectares (UOM:Number), Scaling Factor:1","Percentage Of Agricultural Area Under Slopes Greater Than 45 Degree (UOM:%(Percentage)), Scaling Factor:1","Total Crop Produced In Both Agricultural And Horticultural Crops (%) (UOM:%(Percentage)), Scaling Factor:1","Main And Local Markets Per Geographical Area (%) (UOM:%(Percentage)), Scaling Factor:1","Water Scarcity (UOM:Number), Scaling Factor:1","Soil Fertility (UOM:Ratio), Scaling Factor:1","Crop Diversification Index (UOM:Ratio), Scaling Factor:1","Road Connectivity (%) (UOM:%(Percentage)), Scaling Factor:1","Access To Market (UOM:Ratio), Scaling Factor:1","Income Diversification Within Agriculture Sector (UOM:INR(IndianRupees)), Scaling Factor:1","Water Availability (UOM:L(Litre)), Scaling Factor:1","Area Under Water Bodies (%) (UOM:%(Percentage)), Scaling Factor:1","Fair Price Shops Per 1000 Population (UOM:Number), Scaling Factor:1","Total Female Workforce (UOM:Number), Scaling Factor:1","Stage Of Groundwater Development (%) (UOM:%(Percentage)), Scaling Factor:1","Cropping Intensity (UOM:Ratio), Scaling Factor:1","Proportion Of Area Under Commercial Crops To Set Sown Area (UOM:Ratio), Scaling Factor:1","Variability Of Crop, Livestock, And Fish Yield (UOM:Ratio), Scaling Factor:1","Available Water Resources Under Fish Culture (%) (UOM:%(Percentage)), Scaling Factor:1","Degree Of Forest Dependence By Rural Tribal Communities (UOM:Ratio), Scaling Factor:1","Approved Minor Forest Produce (Mfp) Microenterprises (UOM:Number), Scaling Factor:1","Dependency Ratio Of Rural Households Below The Poverty Line (UOM:Ratio), Scaling Factor:1","Establishments By Oae, Estt, Micro, Small And Medium (UOM:Number), Scaling Factor:1","Functional Health Care Facilities Per 10,000 Population (UOM:PerTenThousand(10000)), Scaling Factor:1","Households With Any Usual Member Covered By A Health Scheme Or Health Insurance (UOM:Number), Scaling Factor:1"
India,Bihar,Araria,"Calendar Year (Jan - Dec), 2021",0.707,0.95,,0.53,,0.34,32.07,,0.1,71,,99.6,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Arwal,"Calendar Year (Jan - Dec), 2021",0.648,0.97,,0.4,,0.29,44.02,,0.14,69,,99.1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Banka,"Calendar Year (Jan - Dec), 2021",0.619,0.98,,0.26,,0.33,40.5,,0.14,56,,92.9,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Begusarai,"Calendar Year (Jan - Dec), 2021",0.611,0.98,,0.13,,0.24,42.3,,0.12,56,,99.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Bhagalpur,"Calendar Year (Jan - Dec), 2021",0.605,0.98,,0.61,,0.25,44.34,,0.15,50,,97.3,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Bhojpur,"Calendar Year (Jan - Dec), 2021",0.618,0.96,,0.46,,0.22,39.35,,0.13,58,,99.9,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Buxar,"Calendar Year (Jan - Dec), 2021",0.656,0.9,,0.33,,0.25,40.22,,0.12,64,,99.7,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Darbhanga,"Calendar Year (Jan - Dec), 2021",0.632,0.98,,0.53,,0.23,38.75,,0.13,64,,99.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Gaya,"Calendar Year (Jan - Dec), 2021",0.647,0.96,,0.42,,0.35,40.49,,0.08,66,,96.7,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Gopalganj,"Calendar Year (Jan - Dec), 2021",0.659,0.99,,0.38,,0.26,38.72,,0.21,62,,99,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Jamui,"Calendar Year (Jan - Dec), 2021",0.7,0.96,,0.45,,0.38,47.58,,0.13,58,,78.6,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Jehanabad,"Calendar Year (Jan - Dec), 2021",0.626,0.96,,0.11,,0.27,50.04,,0.13,65,,99.4,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Kaimur (Bhabua),"Calendar Year (Jan - Dec), 2021",0.601,0.93,,0.24,,0.26,44.38,,0.19,71,,95.3,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Katihar,"Calendar Year (Jan - Dec), 2021",0.725,0.98,,0.7,,0.25,39.71,,0.07,67,,99.2,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Khagaria,"Calendar Year (Jan - Dec), 2021",0.66,0.95,,0.25,,0.29,33.26,,0.23,54,,98.8,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Kishanganj,"Calendar Year (Jan - Dec), 2021",0.707,0.97,,0.81,,0.2,45.33,,0.13,72,,98.7,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Lakhisarai,"Calendar Year (Jan - Dec), 2021",0.672,0.99,,0.32,,0.26,41.5,,0.17,54,,93.8,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Madhepura,"Calendar Year (Jan - Dec), 2021",0.68,0.97,,0.59,,0.36,45.89,,0.06,60,,100,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Madhubani,"Calendar Year (Jan - Dec), 2021",0.659,0.97,,0.63,,0.32,37.83,,0.07,57,,99.6,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Munger,"Calendar Year (Jan - Dec), 2021",0.627,0.98,,0.43,,0.23,45.73,,0.34,54,,90.5,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Muzaffarpur,"Calendar Year (Jan - Dec), 2021",0.643,0.98,,0.51,,0.23,35.83,,0.04,60,,99.4,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Nalanda,"Calendar Year (Jan - Dec), 2021",0.621,0.96,,0.38,,0.33,48.92,,0.21,60,,97.9,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Nawada,"Calendar Year (Jan - Dec), 2021",0.639,0.97,,0.42,,0.34,41.72,,0.2,57,,98.8,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Pashchim Champaran,"Calendar Year (Jan - Dec), 2021",0.633,0.97,,0.34,,0.32,37.15,,0.1,64,,96.1,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Patna,"Calendar Year (Jan - Dec), 2021",0.609,0.98,,0.55,,0.24,40.14,,0.04,62,,98.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Purbi Champaran,"Calendar Year (Jan - Dec), 2021",0.673,0.97,,0.58,,0.27,43.12,,0.12,64,,99.4,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Purnia,"Calendar Year (Jan - Dec), 2021",0.701,0.93,,0.71,,0.3,38.02,,0.11,70,,99.7,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Rohtas,"Calendar Year (Jan - Dec), 2021",0.585,0.96,,0.21,,0.3,38.41,,0.13,59,,99.4,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Saharsa,"Calendar Year (Jan - Dec), 2021",0.616,0.95,,0.37,,0.3,46.09,,0.16,57,,99.7,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Samastipur,"Calendar Year (Jan - Dec), 2021",0.623,0.99,,0.38,,0.23,59.71,,0.05,54,,98.5,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Saran,"Calendar Year (Jan - Dec), 2021",0.607,0.99,,0.38,,0.18,53.01,,0.11,54,,98.4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Sheikhpura,"Calendar Year (Jan - Dec), 2021",0.612,0.98,,0.42,,0.33,47.18,,0.75,59,,94.4,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Sheohar,"Calendar Year (Jan - Dec), 2021",0.694,0.97,,0.31,,0.23,41.85,,0.17,71,,99.5,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Sitamarhi,"Calendar Year (Jan - Dec), 2021",0.668,0.99,,0.21,,0.22,36.02,,0.03,67,,100,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Siwan,"Calendar Year (Jan - Dec), 2021",0.669,0.98,,0.37,,0.22,45.58,,0.08,55,,98.4,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Supaul,"Calendar Year (Jan - Dec), 2021",0.655,0.96,,0.54,,0.37,41.98,,0.2,58,,99.9,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,Vaishali,"Calendar Year (Jan - Dec), 2021",0.655,0.99,,0.44,,0.19,41.13,,0.06,56,,97.6,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Chhattisgarh,Balod,"Calendar Year (Jan - Dec), 2021",,,,,,,45.88,,,32.84,,,,,,,,,,,,,88.49,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,13.13,95.57,0.17,0,80.6,2324.5,2.9,68.3
India,Chhattisgarh,Balodabazar-Bhatapara,"Calendar Year (Jan - Dec), 2021",,,,,,,42.45,,,38,,,,,,,,,,,,,92.71,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,12.34,92.19,0.16,0,88.67,2658.8,1.04,58.5
India,Chhattisgarh,Bastar,"Calendar Year (Jan - Dec), 2021",0.526,,,,,,43.03,,,33.68,,,,,,,,,,,,,92.56,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,19.46,86.72,0.42,20.89,75.3,1737.8,5.32,71.2
India,Chhattisgarh,Bemetara,"Calendar Year (Jan - Dec), 2021",,,,,,,43.27,,,38,,,,,,,,,,,,,88.49,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,23.53,88.63,0,0,80.6,1279.4,2.17,68.3
India,Chhattisgarh,Bilaspur,"Calendar Year (Jan - Dec), 2021",0.574,,,,,,57.45,,,34.21,,,,,,,,,,,,,93.02,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,17.11,91.93,0.2,17.82,89.27,4343.5,1.01,69
India,Chhattisgarh,Dakshin Bastar Dantewada,"Calendar Year (Jan - Dec), 2021",0.478,,,,,,52.37,,,36,,,,,,,,,,,,,90.74,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,23.46,98.11,0.92,10,71.61,997.7,2,65
India,Chhattisgarh,Dhamtari,"Calendar Year (Jan - Dec), 2021",0.491,,,,,,47.91,,,37.71,,,,,,,,,,,,,89.34,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,20.33,97.96,0.48,11.42,71.33,2256.3,2.52,83.2
India,Chhattisgarh,Durg,"Calendar Year (Jan - Dec), 2021",0.489,,,,,,41.16,,,32.84,,,,,,,,,,,,,88.49,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,26.26,95.94,0,0,80.6,5266.9,2.36,68.3
India,Chhattisgarh,Gariyaband,"Calendar Year (Jan - Dec), 2021",,,,,,,54.09,,,35.65,,,,,,,,,,,,,92.71,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,94.63,0.73,12.12,88.67,925.4,2.37,58.5
India,Chhattisgarh,Janjgir-Champa,"Calendar Year (Jan - Dec), 2021",0.574,,,,,,40.5,,,37.29,,,,,,,,,,,,,92.73,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,18.51,99.35,0.03,0,75.81,3159.4,0.89,70.1
India,Chhattisgarh,Jashpur,"Calendar Year (Jan - Dec), 2021",0.526,,,,,,50.89,,,41.26,,,,,,,,,,,,,91.97,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55,89.7,0.46,17.5,67.62,1384.1,3.85,78.1
India,Chhattisgarh,Kabeerdham,"Calendar Year (Jan - Dec), 2021",0.511,,,,,,58.71,,,41.69,,,,,,,,,,,,,90.95,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,18.28,97.51,0.36,0,86.87,6983,0.97,66.4
India,Chhattisgarh,Kondagaon,"Calendar Year (Jan - Dec), 2021",,,,,,,43.19,,,36,,,,,,,,,,,,,92.56,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,11.47,96.97,0.63,29.67,75.3,1067.2,2.1,71.2
India,Chhattisgarh,Korba,"Calendar Year (Jan - Dec), 2021",0.53,,,,,,41.91,,,38.08,,,,,,,,,,,,,91.84,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,20.66,98.11,0.73,30.12,85.74,11836.2,2.2,62.3
India,Chhattisgarh,Korea,"Calendar Year (Jan - Dec), 2021",0.495,,,,,,65.56,,,41.04,,,,,,,,,,,,,90.55,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,22.28,92.8,1.03,27.51,80.85,1446.5,3.38,63.4
India,Chhattisgarh,Mahasamund,"Calendar Year (Jan - Dec), 2021",0.555,,,,,,44.45,,,45.38,,,,,,,,,,,,,93.59,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,18.11,85.48,0.27,0,77.27,2299.1,2.35,73.1
India,Chhattisgarh,Mungeli,"Calendar Year (Jan - Dec), 2021",,,,,,,48.82,,,38,,,,,,,,,,,,,93.02,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,92.42,0.26,0,89.27,1177.9,0.87,69
India,Chhattisgarh,Narayanpur,"Calendar Year (Jan - Dec), 2021",0.515,,,,,,46.99,,,36,,,,,,,,,,,,,92.83,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,15.23,98.33,1.89,25.2,83.4,235.4,5.79,81.4
India,Chhattisgarh,Raigarh,"Calendar Year (Jan - Dec), 2021",0.577,,,,,,37.87,,,43.59,,,,,,,,,,,,,92.2,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34,98.72,0.37,20.83,79.83,3004.6,2.04,62.6
India,Chhattisgarh,Raipur,"Calendar Year (Jan - Dec), 2021",0.477,,,,,,44.88,,,36.83,,,,,,,,,,,,,92.71,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,90.07,0,30.27,88.67,7224.4,1.18,58.5
India,Chhattisgarh,Rajnandgaon,"Calendar Year (Jan - Dec), 2021",0.48,,,,,,56.64,,,38.66,,,,,,,,,,,,,90.82,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,20.39,97.62,0.33,17.5,72.39,4298.7,2.47,76.6
India,Chhattisgarh,Sukma,"Calendar Year (Jan - Dec), 2021",,,,,,,57.93,,,34.87,,,,,,,,,,,,,90.74,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18,95.83,1.75,8.88,71.61,2938.9,2.22,65
India,Chhattisgarh,Surajpur,"Calendar Year (Jan - Dec), 2021",,,,,,,61.64,,,40,,,,,,,,,,,,,93.05,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02,90.81,0.47,0,85.14,1187,3.34,71.8
India,Chhattisgarh,Surguja,"Calendar Year (Jan - Dec), 2021",0.527,,,,,,46.96,,,40.5,,,,,,,,,,,,,93.05,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,17.79,99.94,0.51,38.8,85.14,1351.4,2.13,71.8
India,Chhattisgarh,Uttar Bastar Kanker,"Calendar Year (Jan - Dec), 2021",0.484,,,,,,59.9,,,36.12,,,,,,,,,,,,,90.96,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,17.67,90.58,0.79,37.33,70.22,4853.7,5.31,78.9
India,Gujarat,Ahmadabad,"Calendar Year (Jan - Dec), 2021",0.6,0.6,,0.71,,0.21,44.84,0.2,0.08,60,99.35,95.4,0.2,,0.1,1.62,,,,,,,,,,,,,,,,,,,,,,,,77.15,74.35,,,62.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Amreli,"Calendar Year (Jan - Dec), 2021",0.565,0.58,,0.81,,0.31,49.65,0.12,0.2,50,98.9,96.6,0.22,,0.19,3.52,,,,,,,,,,,,,,,,,,,,,,,,74.8,76.7,,,56.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Anand,"Calendar Year (Jan - Dec), 2021",0.514,0.89,,0.23,,0.26,35.96,0.2,0.17,62,97.6,96.2,0.18,,0.28,1.58,,,,,,,,,,,,,,,,,,,,,,,,67.2,76.7,,,72.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Banas Kantha,"Calendar Year (Jan - Dec), 2021",0.572,0.55,,1,,0.33,42.99,0.04,0.29,52,87.3,97.8,0.32,,0.69,7.66,,,,,,,,,,,,,,,,,,,,,,,,39.6,56.1,,,68.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Bharuch,"Calendar Year (Jan - Dec), 2021",0.57,0.63,,0.78,,0.25,46.91,0.15,0.19,56,96.1,85.9,0.21,,0.14,4.26,,,,,,,,,,,,,,,,,,,,,,,,67.2,72.4,,,64.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Bhavnagar,"Calendar Year (Jan - Dec), 2021",0.6,0.6,,0.71,,0.21,44.84,0.2,0.08,60,99.35,95.4,0.2,,0.1,1.62,,,,,,,,,,,,,,,,,,,,,,,,77.15,74.35,,,62.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Dang,"Calendar Year (Jan - Dec), 2021",0.548,0.29,,0.94,,0.48,50.88,0.02,0.36,55,87,69.9,0.33,,0.33,77.16,,,,,,,,,,,,,,,,,,,,,,,,19.4,56.9,,,83.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Dohad,"Calendar Year (Jan - Dec), 2021",0.597,0.61,,0.64,,0.46,46.26,0.08,0.36,66,78.5,72.5,0.27,,0.42,14.55,,,,,,,,,,,,,,,,,,,,,,,,21.9,52.2,,,81.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Gandhinagar,"Calendar Year (Jan - Dec), 2021",0.526,0.82,,0.37,,0.24,39.78,0.45,0.16,56,94.8,96.5,0.15,,0.29,4.3,,,,,,,,,,,,,,,,,,,,,,,,62.3,68.8,,,69.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Jamnagar,"Calendar Year (Jan - Dec), 2021",0.582,0.56,,0.81,,0.24,48.52,0.07,0.21,48,98,88.8,0.15,,0.28,3.32,,,,,,,,,,,,,,,,,,,,,,,,68,72.5,,,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Junagadh,"Calendar Year (Jan - Dec), 2021",0.519,0.69,,0.6,,0.29,38.33,0.1,0.19,52,99.3,97.8,0.15,,0.21,19.17,,,,,,,,,,,,,,,,,,,,,,,,75.1,77,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Kachchh,"Calendar Year (Jan - Dec), 2021",0.497,0.39,,0.74,,0.2,59.51,0.02,0.25,51,95.4,81.5,0.08,,0.38,5.13,,,,,,,,,,,,,,,,,,,,,,,,61.5,56.7,,,59.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Kheda,"Calendar Year (Jan - Dec), 2021",0.576,0.81,,0.52,,0.67,42.09,0,0.22,60.5,90.2,88.95,0.24,,0.41,2.39,,,,,,,,,,,,,,,,,,,,,,,,45.55,67.8,,,80.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Mahesana,"Calendar Year (Jan - Dec), 2021",0.537,0.81,,0.5,,0.28,51.11,0.08,0.18,59,96.8,92.7,0.2,,0.31,3.6,,,,,,,,,,,,,,,,,,,,,,,,66.1,77.1,,,71.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Narmada,"Calendar Year (Jan - Dec), 2021",0.446,0.65,,0.31,,0.41,42.47,0.04,0.35,60,91.3,97.6,0.19,,0.31,33.65,,,,,,,,,,,,,,,,,,,,,,,,34.8,70.2,,,82.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Navsari,"Calendar Year (Jan - Dec), 2021",0.573,0.83,,0.48,,0.31,31.48,0.23,0.27,52,97.8,67.2,0.23,,0.13,16.14,,,,,,,,,,,,,,,,,,,,,,,,68.8,84.3,,,74.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
